name,x.mni,y.mni,z.mni,lobe,hemi,index,network
Vis.L1,-31.90152359,-40.73719025,-22.29620361,Occipital,L,1,Ventral.Attention
Vis.L2,-34.65129471,-35.57168198,-14.29286957,Parietal,L,2,Ventral.Attention
Vis.L3,-38.15911102,-59.66364288,-17.89296341,Parietal,L,3,Ventral.Attention
Vis.L4,-28.05040359,-56.44706345,-6.896549225,Insula,L,4,Ventral.Attention
Vis.L5,-26.45765305,-75.15644836,-4.899469376,Cingulate,L,5,Ventral.Attention
Vis.L6,-35.68564987,-80.88658142,-14.10664845,Parietal,L,6,Ventral.Attention
Vis.L7,-17.93943405,-37.35819244,-12.45734596,Parietal,L,7,Ventral.Attention
Vis.L8,-39.83919525,-69.90511322,-6.939305305,Parietal,L,8,Ventral.Attention
Vis.L9,-18.55210495,-89.23602295,-7.343884945,Insula,L,9,Ventral.Attention
Vis.L10,-13.54333496,-65.01256561,-3.181409836,Insula,L,10,Ventral.Attention
Vis.L11,-10.11548042,-79.6428833,-3.443695784,Temporal,L,11,Ventral.Attention
Vis.L12,-23.18365479,-97.37017059,-14.5983305,Frontal,L,12,Ventral.Attention
Vis.L13,-15.19017601,-43.13443375,-4.805312157,Frontal,L,13,Ventral.Attention
Vis.L14,-38.28013992,-87.47673035,-4.787758827,Parietal,L,14,Ventral.Attention
Vis.L15,-14.9286623,-96.62913513,-1.643361449,Frontal,L,15,Ventral.Attention
Vis.L16,-18.36613083,-58.3741951,-0.953188539,Occipital,L,16,Ventral.Attention
Vis.L17,-40.74594498,-74.66152191,2.894345999,Frontal,L,17,Ventral.Attention
Vis.L18,-12.21422195,-88.89581299,1.69066596,Frontal,L,18,Ventral.Attention
Vis.L19,-22.22412491,-94.53849792,1.03970325,Parietal,L,19,Ventral.Attention
Vis.L20,-11.90386486,-47.61371613,1.732832193,Insula,L,20,Ventral.Attention
Vis.L21,-13.06046867,-81.63466644,11.36628246,Parietal,L,21,Ventral.Attention
Vis.L22,-24.42022514,-70.11222839,5.584446907,Cingulate,L,22,Ventral.Attention
Vis.L23,-35.64009857,-79.65206146,9.080048561,Frontal,L,23,Ventral.Attention
Vis.L24,-13.2348423,-98.81989288,14.43061352,Temporal,L,24,Ventral.Attention
Vis.L25,-4.656567097,-83.66880035,23.92251778,Frontal,L,25,Ventral.Attention
Vis.L26,-15.32359028,-72.50310516,16.45275497,Occipital,L,26,Ventral.Attention
Vis.L27,-23.54996872,-82.61827087,13.10415077,Temporal,L,27,Ventral.Attention
Vis.L28,-34.79462814,-81.83787537,22.31835556,Parietal,L,28,Ventral.Attention
Vis.L29,-14.26642895,-86.55512238,25.79540443,Cingulate,L,29,Ventral.Attention
Vis.L30,-16.06956863,-81.5058136,31.55303955,Temporal,L,30,Ventral.Attention
Vis.L31,-21.14359665,-76.24201965,38.43309021,Parietal,L,31,Ventral.Attention
SomMot.L1,-51.04540253,-11.77180958,-0.992583156,Temporal,L,32,Somatomotor
SomMot.L2,-53.55651093,-23.08859634,0.241373256,Parietal,L,33,Somatomotor
SomMot.L3,-33.2768364,-26.94069862,5.024436951,Frontal,L,34,Somatomotor
SomMot.L4,-37.34410477,-6.350658417,17.31253624,Insula,L,35,Somatomotor
SomMot.L5,-33.84851074,-28.39050674,20.7496891,Insula,L,36,Somatomotor
SomMot.L6,-56.87230301,-38.31841278,12.69606209,Frontal,L,37,Somatomotor
SomMot.L7,-40.88162231,-37.96477509,10.2622776,Frontal,L,38,Somatomotor
SomMot.L8,-47.62630463,-13.75241661,17.81033897,Temporal,L,39,Somatomotor
SomMot.L9,-59.06684113,-4.81441164,10.15589714,Cingulate,L,40,Somatomotor
SomMot.L10,-49.68658066,-24.99852562,21.74895859,Insula,L,41,Somatomotor
SomMot.L11,-57.29072952,-18.02180862,21.6453743,Frontal,L,42,Somatomotor
SomMot.L12,-55.37516403,-5.982096672,17.49773598,Temporal,L,43,Somatomotor
SomMot.L13,-62.50980377,-11.94254494,29.52811241,Occipital,L,44,Somatomotor
SomMot.L14,-48.08178329,-10.9512043,24.75227356,Frontal,L,45,Somatomotor
SomMot.L15,-52.15203094,-22.37173462,38.28951263,Cingulate,L,46,Somatomotor
SomMot.L16,-50.36631393,-7.926272392,41.8285675,Frontal,L,47,Somatomotor
SomMot.L17,-45.36492157,-20.46782875,36.52563858,Temporal,L,48,Somatomotor
SomMot.L18,-11.70773888,-14.23562908,47.93382263,Temporal,L,49,Somatomotor
SomMot.L19,-37.43501282,-13.73627663,43.52579498,Frontal,L,50,Somatomotor
SomMot.L20,-45.70801163,-19.05454826,52.62723923,Cingulate,L,51,Somatomotor
SomMot.L21,-46.35950851,-29.38781738,56.14423752,Temporal,L,52,Somatomotor
SomMot.L22,-37.88806534,-26.50697708,46.57619095,Frontal,L,53,Somatomotor
SomMot.L23,-12.3261137,-36.81134796,54.08916473,Occipital,L,54,Somatomotor
SomMot.L24,-8.971910477,-22.86306953,55.53179169,Cingulate,L,55,Somatomotor
SomMot.L25,-8.118814468,-10.70122242,55.39118576,Parietal,L,56,Somatomotor
SomMot.L26,-34.92642975,-22.37204552,58.78661346,Frontal,L,57,Somatomotor
SomMot.L27,-28.19764328,-45.75125122,58.41912079,Parietal,L,58,Somatomotor
